time_step,temperature
5.090000000000000000e+02,7.693183925730535944e-02
5.100000000000000000e+02,7.698640659080757676e-02
5.110000000000000000e+02,7.702168794373241700e-02
5.120000000000000000e+02,7.703958023476396855e-02
5.130000000000000000e+02,7.700380374370596748e-02
5.140000000000000000e+02,7.699698237251988153e-02
5.150000000000000000e+02,7.700358506091974087e-02
5.160000000000000000e+02,7.701064703312930637e-02
5.170000000000000000e+02,7.701864280131613671e-02
5.180000000000000000e+02,7.699971124645153819e-02
5.190000000000000000e+02,7.696969201652510695e-02
5.200000000000000000e+02,7.695811134041893875e-02
5.210000000000000000e+02,7.693524521720986054e-02
5.220000000000000000e+02,7.694808952727019702e-02
5.230000000000000000e+02,7.697279839844452243e-02
5.240000000000000000e+02,7.702971160011300167e-02
5.250000000000000000e+02,7.706609943152623043e-02
5.260000000000000000e+02,7.710493302289549156e-02
5.270000000000000000e+02,7.711801230863669920e-02
5.280000000000000000e+02,7.712103157316603508e-02
5.290000000000000000e+02,7.712332742958716292e-02
5.300000000000000000e+02,7.714110736399877599e-02
5.310000000000000000e+02,7.715309531965171275e-02
5.320000000000000000e+02,7.718724571215943020e-02
5.330000000000000000e+02,7.723218400039183473e-02
5.340000000000000000e+02,7.728054950827627223e-02
5.350000000000000000e+02,7.731265371018340715e-02
5.360000000000000000e+02,7.736496041579073168e-02
5.370000000000000000e+02,7.741520991490703774e-02
5.380000000000000000e+02,7.744193553888716053e-02
5.390000000000000000e+02,7.747049440677913901e-02
5.400000000000000000e+02,7.749811059410051384e-02
5.410000000000000000e+02,7.753577911299446013e-02
5.420000000000000000e+02,7.759478934484176360e-02
5.430000000000000000e+02,7.766192027518309393e-02
5.440000000000000000e+02,7.771693090006577542e-02
5.450000000000000000e+02,7.771112357078246990e-02
5.460000000000000000e+02,7.769445570856751970e-02
5.470000000000000000e+02,7.765248349518240334e-02
5.480000000000000000e+02,7.766945601245470177e-02
5.490000000000000000e+02,7.771897194124342823e-02
5.500000000000000000e+02,7.778751740545344906e-02
5.510000000000000000e+02,7.787151824904714470e-02
5.520000000000000000e+02,7.793174214946958778e-02
5.530000000000000000e+02,7.800588066668862064e-02
5.540000000000000000e+02,7.810023611137111021e-02
5.550000000000000000e+02,7.814227258720585212e-02
5.560000000000000000e+02,7.823947059295881246e-02
5.570000000000000000e+02,7.833008451378621617e-02
5.580000000000000000e+02,7.839009286821937983e-02
5.590000000000000000e+02,7.844896617281810203e-02
5.600000000000000000e+02,7.851757301566646141e-02
5.610000000000000000e+02,7.857104173430172478e-02
5.620000000000000000e+02,7.869463971314283324e-02
5.630000000000000000e+02,7.884703505279612445e-02
5.640000000000000000e+02,7.897777568933508907e-02
5.650000000000000000e+02,7.908991194939506142e-02
5.660000000000000000e+02,7.919211229741997260e-02
5.670000000000000000e+02,7.927155426182190545e-02
5.680000000000000000e+02,7.940678747949508898e-02
5.690000000000000000e+02,7.956067558710268328e-02
5.700000000000000000e+02,7.968656652470552937e-02
5.710000000000000000e+02,7.981150637201965548e-02
5.720000000000000000e+02,7.993294568584455306e-02
5.730000000000000000e+02,8.008115981883134893e-02
5.740000000000000000e+02,8.020570377496215320e-02
5.750000000000000000e+02,8.032300469588983527e-02
5.760000000000000000e+02,8.045671030570285265e-02
5.770000000000000000e+02,8.058423752937630968e-02
5.780000000000000000e+02,8.072830421168915305e-02
5.790000000000000000e+02,8.087470606759941671e-02
5.800000000000000000e+02,8.103457598676247486e-02
