time_ps,raw_memory_ps2,fitted_memory_ps2
3.070000000000e-01,2.651801623590e-01,2.652176838692e-01
3.080000000000e-01,2.585672582841e-01,2.586049275669e-01
3.090000000000e-01,2.520302294221e-01,2.520669126897e-01
3.100000000000e-01,2.455662831782e-01,2.456025726344e-01
3.110000000000e-01,2.391748436265e-01,2.392109885719e-01
3.120000000000e-01,2.328557427712e-01,2.328916463994e-01
3.130000000000e-01,2.266085097975e-01,2.266440600215e-01
3.140000000000e-01,2.204322412444e-01,2.204676993717e-01
3.150000000000e-01,2.143271579900e-01,2.143619227793e-01
3.160000000000e-01,2.082915916616e-01,2.083257601211e-01
3.170000000000e-01,2.023238855175e-01,2.023584988856e-01
3.180000000000e-01,1.964259603076e-01,1.964598769756e-01
3.190000000000e-01,1.905955746774e-01,1.906293589542e-01
3.200000000000e-01,1.848328710582e-01,1.848663600154e-01
3.210000000000e-01,1.791370293643e-01,1.791704349042e-01
3.220000000000e-01,1.735082293030e-01,1.735410571132e-01
3.230000000000e-01,1.679449806749e-01,1.679774341610e-01
3.240000000000e-01,1.624466640760e-01,1.624787268314e-01
3.250000000000e-01,1.570124548718e-01,1.570442005829e-01
3.260000000000e-01,1.516416497410e-01,1.516732584741e-01
3.270000000000e-01,1.463342778244e-01,1.463653740847e-01
3.280000000000e-01,1.410886328858e-01,1.411201463615e-01
3.290000000000e-01,1.359066730480e-01,1.359372506502e-01
3.300000000000e-01,1.307853858287e-01,1.308160285123e-01
3.310000000000e-01,1.257254852689e-01,1.257560827463e-01
3.320000000000e-01,1.207267534625e-01,1.207572766325e-01
3.330000000000e-01,1.157894032933e-01,1.158191637763e-01
3.340000000000e-01,1.109111368971e-01,1.109411131729e-01
3.350000000000e-01,1.060928871120e-01,1.061230051219e-01
3.360000000000e-01,1.013350334556e-01,1.013648992565e-01
3.370000000000e-01,9.663691397997e-02,9.666647530313e-02
3.380000000000e-01,9.199798908385e-02,9.202716406755e-02
3.390000000000e-01,8.741707948961e-02,8.744655752779e-02
3.400000000000e-01,8.289560056856e-02,8.292433181124e-02
3.410000000000e-01,7.843153593108e-02,7.845956321169e-02
3.420000000000e-01,7.402340394124e-02,7.405110583379e-02
3.430000000000e-01,6.967044125666e-02,6.969835956717e-02
3.440000000000e-01,6.537361378052e-02,6.540110844391e-02
3.450000000000e-01,6.113170298957e-02,6.115883852110e-02
3.460000000000e-01,5.694426539115e-02,5.697070103363e-02
3.470000000000e-01,5.280920773766e-02,5.283602772623e-02
3.480000000000e-01,4.872809924353e-02,4.875473347663e-02
3.490000000000e-01,4.470006391330e-02,4.472684537364e-02
3.500000000000e-01,4.072590227487e-02,4.075217762845e-02
3.510000000000e-01,3.680410999722e-02,3.683027494054e-02
3.520000000000e-01,3.293456163678e-02,3.296080491148e-02
3.530000000000e-01,2.911780539682e-02,2.914347722140e-02
3.540000000000e-01,2.535214361948e-02,2.537773232969e-02
3.550000000000e-01,2.163786502395e-02,2.166295834384e-02
3.560000000000e-01,1.797371325616e-02,1.799848234906e-02
3.570000000000e-01,1.435883755484e-02,1.438385276680e-02
3.580000000000e-01,1.079437886138e-02,1.081890017958e-02
3.590000000000e-01,7.278451324850e-03,7.303438520333e-03
3.600000000000e-01,3.813299578785e-03,3.837102170850e-03
3.610000000000e-01,3.950914451816e-04,4.190858015422e-04
3.620000000000e-01,-2.974929572092e-03,-2.950985794820e-03
3.630000000000e-01,-6.297332484008e-03,-6.272937598292e-03
3.640000000000e-01,-9.570465008709e-03,-9.546628176047e-03
3.650000000000e-01,-1.279628045053e-02,-1.277235282059e-02
3.660000000000e-01,-1.597380640715e-02,-1.595066743712e-02
3.670000000000e-01,-1.910539407119e-02,-1.908241256853e-02
3.680000000000e-01,-2.219060841699e-02,-2.216848868005e-02
3.690000000000e-01,-2.523239479290e-02,-2.520945875883e-02
3.700000000000e-01,-2.822747118300e-02,-2.820542318309e-02
3.710000000000e-01,-3.117894249929e-02,-3.115677130849e-02
3.720000000000e-01,-3.408612745814e-02,-3.406366073693e-02
3.730000000000e-01,-3.694800888531e-02,-3.692607944623e-02
3.740000000000e-01,-3.976619715105e-02,-3.974444129205e-02
3.750000000000e-01,-4.254105621463e-02,-4.251906043398e-02
3.760000000000e-01,-4.527160342428e-02,-4.525007108145e-02
3.770000000000e-01,-4.795917168395e-02,-4.793795875193e-02
3.780000000000e-01,-5.060434025447e-02,-5.058333588847e-02
3.790000000000e-01,-5.320756112528e-02,-5.318656163379e-02
3.800000000000e-01,-5.576894508691e-02,-5.574768315905e-02
3.810000000000e-01,-5.828720270636e-02,-5.826699584498e-02
3.820000000000e-01,-6.076544467516e-02,-6.074540179608e-02
3.830000000000e-01,-6.320385657527e-02,-6.318335218254e-02
3.840000000000e-01,-6.560084333671e-02,-6.558081424983e-02
3.850000000000e-01,-6.795778937766e-02,-6.793830062786e-02
3.860000000000e-01,-7.027571504603e-02,-7.025679046387e-02
